NOME,SIMBOLO_NOMEACAO,TITULO_PORTARIA,DATA_PORTARIA,LINK_PORTARIA
rafael cavalcanti de araújo,101.4,"PORTARIA Nº 50, DE 15 DE JANEIRO DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=16
nathalia de carvalho peres bueno,102.4,"PORTARIA Nº 42, DE 15 DE JANEIRO DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=15
marta maria marques magalhaes,101.4,"PORTARIA Nº 44, DE 15 DE JANEIRO DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=16
weskley rodrigues dos santos,102.4,"PORTARIA Nº 46, DE 15 DE JANEIRO DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=16
paulo alexandre de toledo alves,102.4,"Portaria Nº 34, DE 15 DE janeiro DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=15
matheus stivali,102.4,"Portaria Nº 36, DE 15 DE janeiro DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=15
veronica sanchez da cruz rios,102.4,"Portaria Nº 38, DE 15 DE janeiro DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=15
gabriella hespporte chagas,101.2,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
laura rodrigues rabelo,101.4,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
hemerson rodrigues de almeida,101.4,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
mauricio pinheiro soares,101.3,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
eduardo maia bettini,101.4,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
fernanda regina vilares,101.4,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
valmirio alexandre gadelha junior,101.4,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=43
jefferson vasconcelos santos,102.3,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=41
cristiane campos peralta,102.3,PORTARIAS DE 15 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=41
liautey turene dornelles júnior,102.4,,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=11
flávio antônio borges da silva gusmão,101.4,PORTARIAS DE 15 JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=35
maria amélia de andrade,101.4,PORTARIAS DE 15 JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=35
eliane prado de andrade ishida,101.4,"PORTARIA Nº 180, DE 16 DE JANEIRO DE 2019",17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=41
krysleine flores nepomuceno,102.4,PORTARIAS DE 15 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=35
juliana gomes barbosa,101.2,PORTARIAS  DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=31
priscila cunha do nascimento,102.4,PORTARIAS DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=31
marco aurélio mellucci e figueiredo,102.3,PORTARIAS DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=31
kátia sirlene tavares de brito,101.2,PORTARIAS DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=31
cleusa kikue takakura yoshida,101.4,PORTARIAS DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=32
rita de cassia vandanezi munk,101.4,PORTARIA N° 75 DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=32
osmar bernardes júnior,102.4,PORTARIAS DE 16 DE JANEIRO DE 2019,17/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/01/2019&jornal=529&pagina=17
max eduardo alves ribeiro,101.1,PORTARIAS DE 14 DE JANEIRO DE 2019,18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=34
izabella spaggiari brazil camargo,102.4,"PORTARIA Nº 125, DE 17 DE JANEIRO DE 2019",18/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/01/2019&jornal=529&pagina=8
